study,moderator,contrast,n_outcomes,delta,se_delta,lam,se_lam,resid_chi2,resid_df,resid_p,r2cv_outcome_level
voelkel2026,party,Rep-Dem,9,-2.264,0.473,2.84,0.614,1.6,7,0.979,1.0
voelkel2026,ideology,Con-Lib,9,-1.952,0.547,2.218,0.618,3.8,7,0.806,1.0
geiger2026_vdL2019,party,Rep-Dem,6,-1.736,0.799,1.457,0.258,4.5,4,0.346,0.971
vlasceanu2024_global,ideology,Con-Lib,4,-0.103,0.698,10.552,3.995,1.3,2,0.534,-1.541
vlasceanu2024_US,ideology,Con-Lib,4,-0.378,2.363,0.815,0.855,1.1,2,0.563,
voelkel2024,party,Rep-Dem,8,-0.079,0.361,-0.208,2.057,1.8,6,0.937,
